objectID,color,description,hierarchical_categories,price,product_type,showcase_image,tags,taxable,title,units_sold,weight
apparel-sample-data-2314044000,"[""black""]","Discover the simplicity of our classic black t-shirt, designed with a comfortable rounded neckline and short sleeves. Ideal for everyday wear, this versatile tee seamlessly fits into any casual wardrobe.","{""lvl0"": ""clothing"", ""lvl1"": ""clothing > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91437517_0.jpg,"[""classic"", ""black"", ""casual""]",true,Classic black t-shirt,980,0.53
apparel-sample-data-2314040000,"[""black""]","Introducing our black casual t-shirt, crafted from soft cotton for ultimate comfort. This unique piece features bold white lettering that inspires action, making it a stylish choice for your everyday look.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91437222_0.jpg,"[""cotton"", ""casual"", ""graphic""]",true,Black Casual T-shirt with Graphic Message,980,0.53
apparel-sample-data-2314029000,"[""white""]","Discover comfort in our White V-Neck T-Shirt. Crafted from soft fabric, this tee offers a relaxed fit that is perfect for laid-back days or pairing with your favorite jeans. Ideal for versatile styling, it’s a wardrobe essential.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",29.99,tops,https://storage.googleapis.com/landingpage-al/91435677_0.jpg,"[""v-neck"", ""short-sleeve"", ""casual"", ""comfortable""]",true,White V-Neck T-Shirt,2380,0.36
apparel-sample-data-2314028000,"[""white""]","Discover the simplicity and comfort of our classic white round neck t-shirt. Made from soft, breathable fabric, this versatile piece is ideal for casual outings and effortless layering.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91435647_0.jpg,"[""white"", ""casual"", ""comfortable""]",true,Classic White Round Neck T-Shirt,3421,0.32
apparel-sample-data-2314026000,"[""black""]","Discover the ultimate blend of comfort and style with our black distressed t-shirt. Designed with a relaxed fit and a classic round neckline, this soft fabric piece adds a touch of casual elegance to your wardrobe, perfect for everyday wear.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91435552_0.jpg,"[""black"", ""distressed"", ""comfortable""]",true,Black Distressed T-Shirt,3421,0.88
apparel-sample-data-2314023000,"[""black""]","Discover the essential black crew neck t-shirt, crafted for effortless style and comfort. Its classic design and comfortable fit make it a versatile addition to any wardrobe, perfect for casual outings or layering.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91434850_0.jpg,"[""black"", ""crew neck"", ""short sleeve"", ""basic""]",true,Classic Black Crew Neck T-Shirt,4523,0.41
apparel-sample-data-2314021000,"[""white""]","Discover comfort in our classic white v-neck t-shirt, crafted from soft, stretchy fabric. Designed with short sleeves, this versatile piece effortlessly transitions from casual outings to dressed-up occasions.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91434739_0.jpg,"[""casual"", ""comfortable"", ""versatile""]",true,Classic White V-Neck T-Shirt,950,0.55
apparel-sample-data-2314016000,"[""black""]","Discover this stylish black t-shirt adorned with white star prints, perfect for adding a fun twist to your casual wardrobe. Made for comfort and versatility, this piece pairs effortlessly with jeans or shorts for a relaxed look.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",30,tops,https://storage.googleapis.com/landingpage-al/91434079_0.jpg,"[""printed"", ""casual"", ""blue"", ""black""]",true,Black printed t-shirt,875,0.55
apparel-sample-data-2314010000,"[""pink""]","Add a playful touch to your wardrobe with our pink crop top featuring a charming white heart design. Crafted with a ribbed texture and a rounded neckline, this top provides both comfort and a trendy look, making it perfect for casual outings.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91432858_0.jpg,"[""graphic"", ""casual"", ""stylish"", ""comfortable""]",true,Pink Crop Top with Heart Design,980,0.91
apparel-sample-data-2314009000,"[""black"", ""white""]","Adorned with a captivating starry night design, this black and white t-shirt features a delicate mesh overlay embellished with shimmering silver stars and sequins. Perfect for adding a touch of whimsy to your attire, it effortlessly complements both casual and chic outfits.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91432766_1.jpg,"[""black"", ""embellished"", ""silk"", ""elegant""]",true,Black and White Starry Night T-Shirt,980,0.45
apparel-sample-data-2314007000,"[""black""]","Discover the perfect blend of comfort and style with our black long sleeve top. Featuring a rounded neckline and crafted from soft knit material, this basic style offers versatility for any occasion.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91432536_0.jpg,"[""basic"", ""comfortable"", ""soft knit""]",true,Black Long Sleeve Top,982,0.52
apparel-sample-data-2314001000,"[""black""]","Discover the chic style of our black cut-out shoulder top. Crafted from lightweight material, this top features short sleeves and an eye-catching cut-out design that adds a modern twist to your casual outfit.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91430130_1.jpg,"[""lightweight"", ""cut-out"", ""fashionable""]",true,Black Cut-Out Shoulder Top,958,0.19
apparel-sample-data-2313998000,"[""black""]","Discover the perfect blend of comfort and style with our black loose fit t-shirt. Designed with short sleeves and a classic round neckline, this t-shirt is crafted from soft, breathable fabric. Its versatile design makes it an ideal choice for pairing with jeans or leggings for effortless everyday looks.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91429852_0.jpg,"[""black"", ""fringed-hem"", ""jersey"", ""comfortable"", ""versatile""]",true,Black Loose Fit T-Shirt,4320,0.23
apparel-sample-data-2313986000,"[""green""]","Add a splash of personality to your wardrobe with our green graphic t-shirt. This comfortable fit features bold white lettering that playfully proclaims 'have fun', making it an ideal choice for casual outings or relaxed weekends.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",30,tops,https://storage.googleapis.com/landingpage-al/91427909_0.jpg,"[""multicolor"", ""graphic"", ""casual""]",true,Green Graphic T-Shirt,980,0.34
apparel-sample-data-2313973000,"[""white"", ""black"", ""red""]","Discover casual comfort with our Graphic Heart Pattern T-Shirt. Crafted from soft cotton, this white tee features a stylish black and red heart design, complemented by a classic crew neckline and short sleeves. Perfect for adding a playful touch to your everyday wardrobe.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91426225_0.jpg,"[""cotton"", ""multicolor"", ""graphic""]",true,Graphic Heart Pattern T-Shirt,879,0.25
apparel-sample-data-2313971000,"[""white""]","Discover comfort with our white relaxed-fit t-shirt. Designed with a rounded neckline and crafted from soft, lightweight material, this sleeveless tee is perfect for casual outings or layering under jackets.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91426059_0.jpg,"[""linen"", ""lightweight"", ""relaxed_fit"", ""casual""]",true,White Relaxed Fit T-Shirt,980,0.28
